RespondentID,Study,Age,Sex,EBRIQ01,EBRIQ02,EBRIQ03,EBRIQ04,EBRIQ05,EBRIQ06,EBRIQ07,SUIS01,SUIS02,SUIS03,SUIS04,SUIS05,SUIS06,SUIS07,SUIS08,SUIS09,SUIS10,SUIS11,SUIS12,PSIQ01,PSIQ02,PSIQ03,PSIQ04,PSIQ05,PSIQ06,PSIQ07,PSIQ08,PSIQ09,PSIQ10,PSIQ11,PSIQ12,PSIQ13,PSIQ14,PSIQ15,PSIQ16,PSIQ17,PSIQ18,PSIQ19,PSIQ20,PSIQ21,PSIQ22,PSIQ23,PSIQ24,PSIQ25,PSIQ26,PSIQ27,PSIQ28,PSIQ29,PSIQ30,PSIQ31,PSIQ32,PSIQ33,PSIQ34,PSIQ35
1311633743,1,52.3,Female,2,2,4,3,3,3,3,4,2,3,5,,1,5,1,3,5,5,5,9,8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1301266127,1,27,Female,4,4,3,3,1,1,2,1,2,5,3,4,2,5,4,3,4,4,5,11,11,11,11,11,11,11,11,11,11,10,11,11,11,10,11,10,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11
1314024821,1,37.3,Female,3,2,2,2,2,2,2,1,2,5,2,5,1,5,3,3,3,4,4,11,11,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1321700947,1,25.6,Female,2,2,4,3,3,3,3,5,3,4,4,4,2,3,3,3,2,1,1,10,9,9,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1302540972,1,49.4,Female,1,1,1,1,1,1,1,2,1,5,3,5,1,1,1,1,5,1,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9
1287486691,1,19.9,Female,2,2,4,3,2,4,4,3,2,4,4,5,2,3,4,4,4,5,5,11,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,10,11
1305337224,1,35.2,Female,1,1,1,1,1,1,1,3,2,4,4,4,3,5,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,10,10,10,10,10
1287037790,1,24.7,Female,4,3,4,3,3,4,4,3,4,5,5,5,3,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,9,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1317604167,1,26.8,Female,2,1,2,1,1,1,1,3,4,3,5,5,3,5,5,4,4,3,4,11,11,11,11,11,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
1302560081,1,58.6,Female,4,3,4,3,3,4,3,3,2,4,2,4,2,3,3,3,5,4,4,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,10,10,10,11,10,11,11,11,11,11,11,11,11,11,11,10,10,10,10,9
1312679986,1,30.9,Female,4,2,5,3,3,4,2,4,5,5,5,5,1,5,3,5,5,4,5,10,11,11,11,11,11,11,11,11,11,10,10,10,10,10,11,11,11,11,11,10,10,10,9,11,11,11,10,11,11,11,11,9,11,11
