ID,Study,Age,Sex,SUIS_1,SUIS_2,SUIS_3,SUIS_4,SUIS_5,SUIS_6,SUIS_7,SUIS_8,SUIS_9,SUIS_10,SUIS_11,SUIS_12,PSIQ_1,PSIQ_2,PSIQ_3,PSIQ_4,PSIQ_5,PSIQ_6,PSIQ_7,PSIQ_8,PSIQ_9,PSIQ_10,PSIQ_11,PSIQ_12,PSIQ_13,PSIQ_14,PSIQ_15,PSIQ_16,PSIQ_17,PSIQ_18,PSIQ_19,PSIQ_20,PSIQ_21,PSIQ_22,PSIQ_23,PSIQ_24,PSIQ_25,PSIQ_26,PSIQ_27,PSIQ_28,PSIQ_29,PSIQ_30,PSIQ_31,PSIQ_32,PSIQ_33,PSIQ_34,PSIQ_35
1814711822,2,21,Female,2,1,5,1,3,1,1,4,5,1,5,1,5,5,3,7,4,3,7,7,5,2,6,2,2,2,3,3,7,6,6,4,7,5,5,7,6,7,7,7,7,4,7,7,4,7,6
1814701656,2,25,Male,3,3,3,3,4,2,3,1,1,2,3,4,5,6,6,7,6,5,5,5,6,5,3,3,3,4,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,4,4,4,3,4
1814609325,2,2,Male,2,2,3,4,3,4,5,5,2,3,3,4,6,5,5,6,5,5,6,6,5,6,5,4,5,4,5,3,5,6,6,4,6,5,4,5,6,6,6,5,5,5,6,6,5,7,6
1814241740,2,19,Female,2,1,2,5,2,1,1,4,2,5,4,2,6,6,6,7,4,5,5,3,3,1,4,3,2,4,1,5,2,6,3,1,5,5,3,5,6,4,3,5,5,5,4,3,4,5,4
1811692029,2,23,Female,4,2,2,2,3,1,3,2,3,3,5,4,5,6,7,7,5,7,7,7,7,7,4,5,6,5,4,5,5,5,3,4,5,4,5,5,5,5,5,3,3,5,5,6,6,5,5
1811557929,2,19,Female,5,3,5,5,5,3,3,5,5,5,5,5,6,6,6,7,6,6,7,6,6,6,5,4,4,5,4,5,6,6,7,5,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7
1811239403,2,20,Female,5,4,5,5,4,1,3,5,3,4,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1809628672,2,19,Male,5,3,1,5,5,1,1,1,4,3,1,4,7,7,7,7,7,6,7,7,7,6,7,5,5,7,7,6,6,7,7,6,7,7,7,6,7,7,7,5,7,7,7,7,7,7,6
1809532323,2,23,Female,2,3,5,5,5,1,5,5,5,3,5,3,7,7,7,6,5,5,6,7,7,7,3,2,4,5,4,3,6,6,6,6,6,6,6,6,7,7,5,5,6,7,7,7,6,7,7
1808940126,2,22,Male,2,4,4,5,4,5,3,1,5,4,5,5,5,6,7,7,5,3,4,6,3,3,2,2,4,5,5,2,6,7,6,6,7,7,7,7,7,7,6,6,6,6,7,6,3,4,6
